ID,Question,Ans01,Ans02,Ans03,Ans04,Ans05,Ans06,Ans07,Ans08,Ans09,Ans10
126302,Music : 70's Chart Toppers: Name The Artist: Time Passages,al stewart,,,,,,,,,
126303,Music : 70's Chart Toppers: Name The Artist: Time To Get Down,o'jays,,,,,,,,,
126304,Music : 70's Chart Toppers: Name The Artist: Times Of Your Life,paul anka,,,,,,,,,
126305,Music : 70's Chart Toppers: Name The Artist: Timothy,buoys,,,,,,,,,
126306,Music : 70's Chart Toppers: Name The Artist: Tin Man,america,,,,,,,,,
126307,Music : 70's Chart Toppers: Name The Artist: Tired Of Being Alone,al green,,,,,,,,,
126308,Music : 70's Chart Toppers: Name The Artist: To Know You Is To Love You,b.b. king,,,,,,,,,
126309,Music : 70's Chart Toppers: Name The Artist: To The Door Of The Sun,al martino,,,,,,,,,
126310,Music : 70's Chart Toppers: Name The Artist: Toast And Marmalade For Tea,tin tin,,,,,,,,,
126311,Music : 70's Chart Toppers: Name The Artist: Today's The Day,america,,,,,,,,,
126312,Music : 70's Chart Toppers: Name The Artist: Together Let's Find Love,5th dimension,,,,,,,,,
126313,Music : 70's Chart Toppers: Name The Artist: Tonight's The Night,rod stewart,,,,,,,,,
126314,Music : 70's Chart Toppers: Name The Artist: Too Hot Ta Trot,commodores,,,,,,,,,
126315,Music : 70's Chart Toppers: Name The Artist: Too Late To Turn Back Now,cornelius brothers & sister rose,,,,,,,,,
126316,Music : 70's Chart Toppers: Name The Artist: Too Much Heaven,bee gees,,,,,,,,,
126317,"Music : 70's Chart Toppers: Name The Artist: Too Much, Too Little, Too Late",deniece williams,,,,,,,,,
126318,"Music : 70's Chart Toppers: Name The Artist: Too Much, Too Little, Too Late",johnny mathis & deniece williams,,,,,,,,,
126319,Music : 70's Chart Toppers: Name The Artist: Too Young,donny osmond,,,,,,,,,
126320,Music : 70's Chart Toppers: Name The Artist: Took The Last Train,david gates,,,,,,,,,
126321,Music : 70's Chart Toppers: Name The Artist: Top Of The World,carpenters,,,,,,,,,
126322,Music : 70's Chart Toppers: Name The Artist: Torn Between Two Lovers,mary macgregor,,,,,,,,,
126323,"Music : 70's Chart Toppers: Name The Artist: Touch A Hand, Make A Friend",staple singers,,,,,,,,,
126324,Music : 70's Chart Toppers: Name The Artist: Touch Me In The Morning,diana ross,,,,,,,,,
126325,Music : 70's Chart Toppers: Name The Artist: Touch Me,fancy,,,,,,,,,
126326,Music : 70's Chart Toppers: Name The Artist: Tracks Of My Tears,linda ronstadt,,,,,,,,,
126327,Music : 70's Chart Toppers: Name The Artist: Tragedy,bee gees,,,,,,,,,
126328,Music : 70's Chart Toppers: Name The Artist: Train Of Thought,cher,,,,,,,,,
126329,"Music : 70's Chart Toppers: Name The Artist: Train, Train",blackfoot,,,,,,,,,
126330,Music : 70's Chart Toppers: Name The Artist: Trampled Under Foot,led zeppelin,,,,,,,,,
126331,Music : 70's Chart Toppers: Name The Artist: Trapped By A Thing Called Love,denise lasalle,,,,,,,,,
126332,Music : 70's Chart Toppers: Name The Artist: Travelin' Band,creedence clearwater revival,,,,,,,,,
126333,Music : 70's Chart Toppers: Name The Artist: Treat Her Like A Lady,cornelius brothers & sister rose,,,,,,,,,
126334,Music : 70's Chart Toppers: Name The Artist: Troglodyte (Cave Man),jimmy castor bunch,,,,,,,,,
126335,Music : 70's Chart Toppers: Name The Artist: Trouble Man,marvin gaye,,,,,,,,,
126336,Music : 70's Chart Toppers: Name The Artist: T-R-O-U-B-L-E,elvis presley,,,,,,,,,
126337,Music : 70's Chart Toppers: Name The Artist: Tryin' To Get The Feeling Again,barry manilow,,,,,,,,,
126338,Music : 70's Chart Toppers: Name The Artist: Tryin' To Love Two,william bell,,,,,,,,,
126339,Music : 70's Chart Toppers: Name The Artist: Trying To Hold On To My Woman,lamont dozier,,,,,,,,,
126340,Music : 70's Chart Toppers: Name The Artist: Trying To Make A Fool Of Me,delfonics,,,,,,,,,
126341,Music : 70's Chart Toppers: Name The Artist: Tsop,mfsb,,,,,,,,,
126342,Music : 70's Chart Toppers: Name The Artist: Tsop,three degrees,,,,,,,,,
126343,Music : 70's Chart Toppers: Name The Artist: Tubular Bells,mike oldfield,,,,,,,,,
126344,Music : 70's Chart Toppers: Name The Artist: Tumbling Dice,linda ronstadt,,,,,,,,,
126345,Music : 70's Chart Toppers: Name The Artist: Tumbling Dice,rolling stones,,,,,,,,,
126346,Music : 70's Chart Toppers: Name The Artist: Turn Back The Hands Of Time,tyrone davis,,,,,,,,,
126347,Music : 70's Chart Toppers: Name The Artist: Turn The Beat Around,vicki sue robinson,,,,,,,,,
126348,Music : 70's Chart Toppers: Name The Artist: Turn To Stone,electric light orchestra,,,,,,,,,
126349,Music : 70's Chart Toppers: Name The Artist: Tush,zz top,,,,,,,,,
126350,Music : 70's Chart Toppers: Name The Artist: Tusk,fleetwood mac,,,,,,,,,
126351,Music : 70's Chart Toppers: Name The Artist: Two Divided By Love,grass roots,,,,,,,,,
126352,Music : 70's Chart Toppers: Name The Artist: Two Doors Down,dolly parton,,,,,,,,,
126353,Music : 70's Chart Toppers: Name The Artist: Two Fine People,cat stevens,,,,,,,,,
126354,Music : 70's Chart Toppers: Name The Artist: Two Out Of Three Ain't Bad,meat loaf,,,,,,,,,
126355,Music : 70's Chart Toppers: Name The Artist: Two Tickets To Paradise,eddie money,,,,,,,,,
126356,Music : 70's Chart Toppers: Name The Artist: Uncle Albert,paul mccartney & linda mccartney,,,,,,,,,
126357,Music : 70's Chart Toppers: Name The Artist: Undercover Angel,alan o'day,,,,,,,,,
126358,Music : 70's Chart Toppers: Name The Artist: Uneasy Rider,charlie daniels band,,,,,,,,,
126359,Music : 70's Chart Toppers: Name The Artist: Ungena Za Ulimwengu,temptations,,,,,,,,,
126360,Music : 70's Chart Toppers: Name The Artist: Union Man,cate brothers,,,,,,,,,
126361,Music : 70's Chart Toppers: Name The Artist: United We Stand,brotherhood of man,,,,,,,,,
126362,Music : 70's Chart Toppers: Name The Artist: Until It's Time For You To Go,elvis presley,,,,,,,,,
126363,Music : 70's Chart Toppers: Name The Artist: Until You Come Back To Me,aretha franklin,,,,,,,,,
126364,Music : 70's Chart Toppers: Name The Artist: Up Around The Bend,creedence clearwater revival,,,,,,,,,
126365,Music : 70's Chart Toppers: Name The Artist: Up In A Puff Of Smoke,polly brown,,,,,,,,,
126366,Music : 70's Chart Toppers: Name The Artist: Up On The Roof,james taylor,,,,,,,,,
126367,Music : 70's Chart Toppers: Name The Artist: Up The Ladder To The Roof,supremes,,,,,,,,,
126368,Music : 70's Chart Toppers: Name The Artist: Uptown Festival,shalamar,,,,,,,,,
126369,Music : 70's Chart Toppers: Name The Artist: Use Me,bill withers,,,,,,,,,
126370,Music : 70's Chart Toppers: Name The Artist: Use To Be My Girl,o'jays,,,,,,,,,
126371,Music : 70's Chart Toppers: Name The Artist: Ventura Highway,america,,,,,,,,,
126372,Music : 70's Chart Toppers: Name The Artist: Venus And Mars Rock Show,wings,,,,,,,,,
126373,Music : 70's Chart Toppers: Name The Artist: Victim Of Love,elton john,,,,,,,,,
126374,Music : 70's Chart Toppers: Name The Artist: Video Killed The Radio Star,buggles,,,,,,,,,
126375,Music : 70's Chart Toppers: Name The Artist: Vincent,don mclean,,,,,,,,,
126376,Music : 70's Chart Toppers: Name The Artist: Viva Tirado,el chicano,,,,,,,,,
126377,Music : 70's Chart Toppers: Name The Artist: Volare,al martino,,,,,,,,,
126378,Music : 70's Chart Toppers: Name The Artist: Wait For Me,daryl hall & john oates,,,,,,,,,
126379,Music : 70's Chart Toppers: Name The Artist: Wake Up Everybody,harold melvin & the blue notes,,,,,,,,,
126380,Music : 70's Chart Toppers: Name The Artist: Walk A Mile In My Shoes,joe south & the believers,,,,,,,,,
126381,Music : 70's Chart Toppers: Name The Artist: Walk Away From Love,david ruffin,,,,,,,,,
126382,Music : 70's Chart Toppers: Name The Artist: Walk Like A Man,grand funk railroad,,,,,,,,,
126383,Music : 70's Chart Toppers: Name The Artist: Walk On The Wild Side,lou reed,,,,,,,,,
126384,Music : 70's Chart Toppers: Name The Artist: Walk On Water,neil diamond,,,,,,,,,
126385,Music : 70's Chart Toppers: Name The Artist: Walk This Way,aerosmith,,,,,,,,,
126386,Music : 70's Chart Toppers: Name The Artist: Walkin' In The Rain With The One I Love,love unlimited,,,,,,,,,
126387,Music : 70's Chart Toppers: Name The Artist: Walkin' In The Rain,jay & the americans,,,,,,,,,
126388,Music : 70's Chart Toppers: Name The Artist: Walking In Rhythm,blackbyrds,,,,,,,,,
126389,Music : 70's Chart Toppers: Name The Artist: Want Ads,honey cone,,,,,,,,,
126390,Music : 70's Chart Toppers: Name The Artist: War,edwin starr,,,,,,,,,
126391,Music : 70's Chart Toppers: Name The Artist: Warm Ride,rare earth,,,,,,,,,
126392,Music : 70's Chart Toppers: Name The Artist: Wasted Days And Wasted Nights,freddy fender,,,,,,,,,
126393,Music : 70's Chart Toppers: Name The Artist: Watch Ou For Lucy,eric clapton,,,,,,,,,
126394,Music : 70's Chart Toppers: Name The Artist: Watching Scotty Grow,bobby goldsboro,,,,,,,,,
126395,Music : 70's Chart Toppers: Name The Artist: Waterloo,abba,,,,,,,,,
126396,Music : 70's Chart Toppers: Name The Artist: Way Down,elvis presley,,,,,,,,,
126397,Music : 70's Chart Toppers: Name The Artist: We Are Family,sister sledge,,,,,,,,,
126398,Music : 70's Chart Toppers: Name The Artist: We Are The Champions,queen,,,,,,,,,
126399,Music : 70's Chart Toppers: Name The Artist: We Can Work It Out,stevie wonder,,,,,,,,,
126400,Music : 70's Chart Toppers: Name The Artist: We Can't Hide It Anymore,larry santos,,,,,,,,,
126401,Music : 70's Chart Toppers: Name The Artist: We Don't Talk Anymore,cliff richard,,,,,,,,,
126402,Music : 70's Chart Toppers: Name The Artist: We Gotta Get You A Woman,todd rundgren,,,,,,,,,
126403,Music : 70's Chart Toppers: Name The Artist: We Just Disagree,dave mason,,,,,,,,,
126404,Music : 70's Chart Toppers: Name The Artist: We May Never Pass This Way,seals & crofts,,,,,,,,,
126405,Music : 70's Chart Toppers: Name The Artist: We Will Rock You,queen,,,,,,,,,
126406,Music : 70's Chart Toppers: Name The Artist: Wedding Song,paul stookey,,,,,,,,,
126407,Music : 70's Chart Toppers: Name The Artist: Weekend In New England,barry manilow,,,,,,,,,
126408,Music : 70's Chart Toppers: Name The Artist: Weekend,wet willie,,,,,,,,,
126409,Music : 70's Chart Toppers: Name The Artist: Welcome Back,john sebastian,,,,,,,,,
126410,Music : 70's Chart Toppers: Name The Artist: We'll Never Have To Say Goodbye Again,england dan & john ford coley,,,,,,,,,
126411,Music : 70's Chart Toppers: Name The Artist: We're All Alone,rita coolidge,,,,,,,,,
126412,Music : 70's Chart Toppers: Name The Artist: We're An American Band,grand funk railroad,,,,,,,,,
126413,Music : 70's Chart Toppers: Name The Artist: We're Free,beverly bremers,,,,,,,,,
126414,Music : 70's Chart Toppers: Name The Artist: We're Getting Careless With Our Love,johnnie taylor,,,,,,,,,
126415,Music : 70's Chart Toppers: Name The Artist: Werewolves Of London,warren zevon,,,,,,,,,
126416,Music : 70's Chart Toppers: Name The Artist: Westbound #9,flaming amber,,,,,,,,,
126417,Music : 70's Chart Toppers: Name The Artist: We've Got To Get It On Again,addrisi brothers,,,,,,,,,
126418,Music : 70's Chart Toppers: Name The Artist: We've Got Tonight,bob seger & the silver bullet band,,,,,,,,,
126419,Music : 70's Chart Toppers: Name The Artist: We've Only Just Begun,carpenters,,,,,,,,,
126420,Music : 70's Chart Toppers: Name The Artist: Wham Bam,silver,,,,,,,,,
126421,Music : 70's Chart Toppers: Name The Artist: What A Diff'rence A Day Makes,esther phillips,,,,,,,,,
126422,Music : 70's Chart Toppers: Name The Artist: What A Fool Believes,doobie brothers,,,,,,,,,
126423,Music : 70's Chart Toppers: Name The Artist: What Am I Crying For?,classics iv,,,,,,,,,
126424,Music : 70's Chart Toppers: Name The Artist: What Am I Gonna Do With You,barry white,,,,,,,,,
126425,Music : 70's Chart Toppers: Name The Artist: What Are You Doing Sunday,dawn,,,,,,,,,
126426,Music : 70's Chart Toppers: Name The Artist: What Cha Gonna Do With My Lovin',stephanie mills,,,,,,,,,
126427,Music : 70's Chart Toppers: Name The Artist: What Is Life,george harrison,,,,,,,,,
126428,Music : 70's Chart Toppers: Name The Artist: What Is Truth,johnny cash,,,,,,,,,
126429,Music : 70's Chart Toppers: Name The Artist: What The World Needs Now Is Love,tom clay,,,,,,,,,
126430,Music : 70's Chart Toppers: Name The Artist: What You Won't Do For Love,bobby caldwell,,,,,,,,,
126431,Music : 70's Chart Toppers: Name The Artist: Whatcha Gonna Do?,pablo cruise,,,,,,,,,
126432,Music : 70's Chart Toppers: Name The Artist: Whatcha See Is Whatcha Get,dramatics,,,,,,,,,
126433,Music : 70's Chart Toppers: Name The Artist: Whatever Gets You Thru The Night,john lennon & elton john,,,,,,,,,
126434,Music : 70's Chart Toppers: Name The Artist: Whatever You Got I Want,jackson 5,,,,,,,,,
126435,Music : 70's Chart Toppers: Name The Artist: What's Going On,marvin gaye,,,,,,,,,
126436,Music : 70's Chart Toppers: Name The Artist: What's Your Name,lynyrd skynyrd,,,,,,,,,
126437,Music : 70's Chart Toppers: Name The Artist: When I Need You,leo sayer,,,,,,,,,
126438,Music : 70's Chart Toppers: Name The Artist: When Will I Be Loved,linda ronstadt,,,,,,,,,
126439,Music : 70's Chart Toppers: Name The Artist: When Will I See You Again,three degrees,,,,,,,,,
126440,Music : 70's Chart Toppers: Name The Artist: When You Say Love,sonny & cher,,,,,,,,,
126441,"Music : 70's Chart Toppers: Name The Artist: When You're Hot, You're Hot",jerry reed,,,,,,,,,
126442,Music : 70's Chart Toppers: Name The Artist: When You're In Love With A Beautiful Woman,dr. hook,,,,,,,,,
126443,"Music : 70's Chart Toppers: Name The Artist: Whenever I Call You ""Friend""",kenny loggins & stevie nicks,,,,,,,,,
126444,Music : 70's Chart Toppers: Name The Artist: Whenever I'm Away From You,john travolta,,,,,,,,,
126445,Music : 70's Chart Toppers: Name The Artist: Where Did Our Love Go,donnie elbert,,,,,,,,,
126446,"Music : 70's Chart Toppers: Name The Artist: Where Did They Go, Lord",elvis presley,,,,,,,,,
126447,Music : 70's Chart Toppers: Name The Artist: Where Is Your Love,roberta flack & donny hathaway,,,,,,,,,
126448,Music : 70's Chart Toppers: Name The Artist: Where Peaceful Waters Flow,gladys knight & the pips,,,,,,,,,
126449,Music : 70's Chart Toppers: Name The Artist: Where Were You When I Was Falling In Love,lobo,,,,,,,,,
126450,Music : 70's Chart Toppers: Name The Artist: Where You Lead,barbra streisand,,,,,,,,,
126451,Music : 70's Chart Toppers: Name The Artist: Which Way Is Up (Theme),stargard,,,,,,,,,
126452,Music : 70's Chart Toppers: Name The Artist: Which Way You Goin' Billy,poppy family,,,,,,,,,
126453,Music : 70's Chart Toppers: Name The Artist: Whispering,dr. buzzard's original savannah band,,,,,,,,,
126454,"Music : 70's Chart Toppers: Name The Artist: White Lies, Blue Eyes",bullet,,,,,,,,,
126455,Music : 70's Chart Toppers: Name The Artist: Who Are You,who,,,,,,,,,
126456,Music : 70's Chart Toppers: Name The Artist: Who Do You Think You Are,bo donaldson & the heywoods,,,,,,,,,
126457,Music : 70's Chart Toppers: Name The Artist: Who Loves You,four seasons,,,,,,,,,
126458,Music : 70's Chart Toppers: Name The Artist: Whodunit,tavares,,,,,,,,,
126459,Music : 70's Chart Toppers: Name The Artist: Who'll Stop The Rain,creedence clearwater revival,,,,,,,,,
126460,Music : 70's Chart Toppers: Name The Artist: Who's In The Srawberry Patch With Sally,dawn,,,,,,,,,
126461,Music : 70's Chart Toppers: Name The Artist: Who's Sorry Now,marie osmond,,,,,,,,,
126462,Music : 70's Chart Toppers: Name The Artist: Who's Your Baby,archies,,,,,,,,,
126463,Music : 70's Chart Toppers: Name The Artist: Why Can't I Touch You,ronnie dyson,,,,,,,,,
126464,Music : 70's Chart Toppers: Name The Artist: Why Can't We Be Friends,war,,,,,,,,,
126465,Music : 70's Chart Toppers: Name The Artist: Why Can't We Live Together,timmy thomas,,,,,,,,,
126466,Music : 70's Chart Toppers: Name The Artist: Why Me,kris kristofferson,,,,,,,,,
126467,Music : 70's Chart Toppers: Name The Artist: Why,donny osmond,,,,,,,,,
126468,Music : 70's Chart Toppers: Name The Artist: Wild Horses,rolling stones,,,,,,,,,
126469,Music : 70's Chart Toppers: Name The Artist: Wild Night,van morrison,,,,,,,,,
126470,Music : 70's Chart Toppers: Name The Artist: Wild Thing,fancy,,,,,,,,,
126471,Music : 70's Chart Toppers: Name The Artist: Wild World,cat stevens,,,,,,,,,
126472,Music : 70's Chart Toppers: Name The Artist: Wildfire,michael martin murphey,,,,,,,,,
126473,Music : 70's Chart Toppers: Name The Artist: Wildflower,skylark,,,,,,,,,
126474,Music : 70's Chart Toppers: Name The Artist: Wildwood Weed,jim stafford,,,,,,,,,
126475,Music : 70's Chart Toppers: Name The Artist: Will It Go Round In Circles,billy preston,,,,,,,,,
126476,Music : 70's Chart Toppers: Name The Artist: Will You Still Love Me Tommorrow,dave mason,,,,,,,,,
126477,Music : 70's Chart Toppers: Name The Artist: Willie And The Hand Jive,eric clapton,,,,,,,,,
126478,Music : 70's Chart Toppers: Name The Artist: Winners And Losers,"hamilton, joe frank & reynolds",,,,,,,,,
126479,Music : 70's Chart Toppers: Name The Artist: Winter World Of Love,engelbert humperdinck,,,,,,,,,
126480,Music : 70's Chart Toppers: Name The Artist: Wishing You Were Here,chicago,,,,,,,,,
126481,Music : 70's Chart Toppers: Name The Artist: Witchy Woman,eagles,,,,,,,,,
126482,Music : 70's Chart Toppers: Name The Artist: With A Little Luck,wings,,,,,,,,,
126483,Music : 70's Chart Toppers: Name The Artist: With Your Love,jefferson starship,,,,,,,,,
126484,Music : 70's Chart Toppers: Name The Artist: Without Love,tom jones,,,,,,,,,
126485,Music : 70's Chart Toppers: Name The Artist: Without You,nilsson,,,,,,,,,
126486,Music : 70's Chart Toppers: Name The Artist: W-O-L-D,harry chapin,,,,,,,,,
126487,Music : 70's Chart Toppers: Name The Artist: Wolf Creek Pass,c.w. mccall,,,,,,,,,
126488,Music : 70's Chart Toppers: Name The Artist: Woman To Woman,shirley brown,,,,,,,,,
126489,Music : 70's Chart Toppers: Name The Artist: Woman's Love Rights,laura lee,,,,,,,,,
126490,Music : 70's Chart Toppers: Name The Artist: Wonderful Tonight,eric clapton,,,,,,,,,
126491,Music : 70's Chart Toppers: Name The Artist: Wonderful World,paul simon/art garfunkel/james taylor,,,,,,,,,
126492,Music : 70's Chart Toppers: Name The Artist: Won't Get Fooled Again,who,,,,,,,,,
126493,Music : 70's Chart Toppers: Name The Artist: Woodstock,crosby stills nash & young,,,,,,,,,
126494,Music : 70's Chart Toppers: Name The Artist: Woodstock,matthews southern comfort,,,,,,,,,
126495,Music : 70's Chart Toppers: Name The Artist: Workin' At The Car Wash Blues,jim croce,,,,,,,,,
126496,Music : 70's Chart Toppers: Name The Artist: Wreck Of The Edmund Fitzgerald,gordon lightfoot,,,,,,,,,
126497,Music : 70's Chart Toppers: Name The Artist: Y.M.C.A.,village people,,,,,,,,,
126498,Music : 70's Chart Toppers: Name The Artist: Year Of The Cat,al stewart,,,,,,,,,
126499,Music : 70's Chart Toppers: Name The Artist: Yellow River,christie,,,,,,,,,
126500,Music : 70's Chart Toppers: Name The Artist: Yes We Can Can,pointer sisters,,,,,,,,,
126501,"Music : 70's Chart Toppers: Name The Artist: Yes, I'm Ready",teri desario with k.c,,,,,,,,,
126502,Music : 70's Chart Toppers: Name The Artist: Yesterday Once More,carpenters,,,,,,,,,
126503,Music : 70's Chart Toppers: Name The Artist: You Ain't Seen Nothing Yet,bachman-turner overdrive,,,,,,,,,
126504,Music : 70's Chart Toppers: Name The Artist: You And I,rick james,,,,,,,,,
126505,Music : 70's Chart Toppers: Name The Artist: You And Me Against The World,helen reddy,,,,,,,,,
126506,Music : 70's Chart Toppers: Name The Artist: You And Me,alice cooper,,,,,,,,,
126507,Music : 70's Chart Toppers: Name The Artist: You Are Everything,stylistics,,,,,,,,,
126508,Music : 70's Chart Toppers: Name The Artist: You Are My Starship,norman connors,,,,,,,,,
126509,Music : 70's Chart Toppers: Name The Artist: You Are So Beautiful,joe cocker,,,,,,,,,
126510,Music : 70's Chart Toppers: Name The Artist: You Are The Sunshine Of My Life,stevie wonder,,,,,,,,,
126511,Music : 70's Chart Toppers: Name The Artist: You Are The Woman,firefall,,,,,,,,,
126512,Music : 70's Chart Toppers: Name The Artist: You Belong To Me,carly simon,,,,,,,,,
126513,Music : 70's Chart Toppers: Name The Artist: You Can Do It,dobie gray,,,,,,,,,
126514,Music : 70's Chart Toppers: Name The Artist: You Can Have Her,sam neely,,,,,,,,,
126515,Music : 70's Chart Toppers: Name The Artist: You Can't Change That,raydio,,,,,,,,,
126516,Music : 70's Chart Toppers: Name The Artist: You Can't Turn Me Off,high inergy,,,,,,,,,
126517,Music : 70's Chart Toppers: Name The Artist: You Could Have Been A Lady,april wine,,,,,,,,,
126518,Music : 70's Chart Toppers: Name The Artist: You Decorated My Life,kenny rogers,,,,,,,,,
126519,Music : 70's Chart Toppers: Name The Artist: You Don't Bring Me Flowers,barbra streisand,,,,,,,,,
126520,Music : 70's Chart Toppers: Name The Artist: You Don't Have To Be A Star,marilyn mccoo & billy davis jr,,,,,,,,,
126521,Music : 70's Chart Toppers: Name The Artist: You Don't Have To Say You Love Me,elvis presley,,,,,,,,,
126522,Music : 70's Chart Toppers: Name The Artist: You Don't Mess Around With Jim,jim croce,,,,,,,,,
126523,Music : 70's Chart Toppers: Name The Artist: You Gonna Make Me Love Somebody Else,jones girls,,,,,,,,,
126524,Music : 70's Chart Toppers: Name The Artist: You Got The Love,rufus,,,,,,,,,
126525,Music : 70's Chart Toppers: Name The Artist: You Haven't Done Nothin,stevie wonder,,,,,,,,,
126526,Music : 70's Chart Toppers: Name The Artist: You Light Up My Life,debby boone,,,,,,,,,
126527,Music : 70's Chart Toppers: Name The Artist: You Little Trustmaker,tymes,,,,,,,,,
126528,Music : 70's Chart Toppers: Name The Artist: You Made Me Believe In Magic,bay city rollers,,,,,,,,,
126529,Music : 70's Chart Toppers: Name The Artist: You Make Loving Fun,fleetwood mac,,,,,,,,,
126530,Music : 70's Chart Toppers: Name The Artist: You Make Me Feel Brand New,stylistics,,,,,,,,,
126531,Music : 70's Chart Toppers: Name The Artist: You Make Me Feel Like Dancing,leo sayer,,,,,,,,,
126532,Music : 70's Chart Toppers: Name The Artist: You Make Me Feel,sylvester,,,,,,,,,
126533,Music : 70's Chart Toppers: Name The Artist: You Need A Woman Tonight,captain & tennille,,,,,,,,,
126534,Music : 70's Chart Toppers: Name The Artist: You Need Love Like I Do,gladys knight & the pips,,,,,,,,,
126535,Music : 70's Chart Toppers: Name The Artist: You Needed Me,anne murray,,,,,,,,,
126536,Music : 70's Chart Toppers: Name The Artist: You Never Done It Like That,captain & tennille,,,,,,,,,
126537,Music : 70's Chart Toppers: Name The Artist: You Ought To Be With Me,al green,,,,,,,,,
126538,Music : 70's Chart Toppers: Name The Artist: You Really Got Me,van halen,,,,,,,,,
126539,Music : 70's Chart Toppers: Name The Artist: You Sexy Thing,hot chocolate,,,,,,,,,
126540,Music : 70's Chart Toppers: Name The Artist: You Should Be Dancing,bee gees,,,,,,,,,
126541,Music : 70's Chart Toppers: Name The Artist: You Take My Breath Away,rex smith,,,,,,,,,
126542,Music : 70's Chart Toppers: Name The Artist: You Thrill Me,exile,,,,,,,,,
126543,Music : 70's Chart Toppers: Name The Artist: You Took The Words Right Out Of My Mouth,meat loaf,,,,,,,,,
126544,"Music : 70's Chart Toppers: Name The Artist: You Turn Me On, I'm A Radio",joni mitchell,,,,,,,,,
126545,"Music : 70's Chart Toppers: Name The Artist: You Want It, You Got It",detroit emeralds,,,,,,,,,
126546,Music : 70's Chart Toppers: Name The Artist: You Wear It Well,rod stewart,,,,,,,,,
126547,Music : 70's Chart Toppers: Name The Artist: You Won't See Me,anne murray,,,,,,,,,
126548,Music : 70's Chart Toppers: Name The Artist: You,george harrison,,,,,,,,,
126549,Music : 70's Chart Toppers: Name The Artist: You,rita coolidge,,,,,,,,,
126550,Music : 70's Chart Toppers: Name The Artist: You'll Lose A Good Thing,freddy fender,,,,,,,,,
126551,Music : 70's Chart Toppers: Name The Artist: You'll Never Find Another Love,lou rawls,,,,,,,,,
126552,Music : 70's Chart Toppers: Name The Artist: You'll Never Get To Heaven,stylistics,,,,,,,,,
126553,Music : 70's Chart Toppers: Name The Artist: Young Americans,david bowie,,,,,,,,,
126554,Music : 70's Chart Toppers: Name The Artist: Young Blood,bad company,,,,,,,,,
126555,Music : 70's Chart Toppers: Name The Artist: Young Blood,rickie lee jones,,,,,,,,,
126556,Music : 70's Chart Toppers: Name The Artist: Young Hearts Run Free,candi staton,,,,,,,,,
126557,Music : 70's Chart Toppers: Name The Artist: Young Love,donny osmond,,,,,,,,,
126558,Music : 70's Chart Toppers: Name The Artist: Your Bulldog Drinks Champagne,jim stafford,,,,,,,,,
126559,Music : 70's Chart Toppers: Name The Artist: Your Love Has Lifted Me Higher,rita coolidge,,,,,,,,,
126560,Music : 70's Chart Toppers: Name The Artist: Your Love,graham central station,,,,,,,,,
126561,Music : 70's Chart Toppers: Name The Artist: Your Love,marilyn mccoo & billy davis jr,,,,,,,,,
126562,Music : 70's Chart Toppers: Name The Artist: Your Mama Don't Dance,loggins & messina,,,,,,,,,
126563,Music : 70's Chart Toppers: Name The Artist: Your Move,yes,,,,,,,,,
126564,Music : 70's Chart Toppers: Name The Artist: Your Smiling Face,james taylor,,,,,,,,,
126565,Music : 70's Chart Toppers: Name The Artist: Your Song,elton john,,,,,,,,,
126566,Music : 70's Chart Toppers: Name The Artist: Your Time To Cry,joe simon,,,,,,,,,
126567,Music : 70's Chart Toppers: Name The Artist: You're A Part Of Me,gene cotton with kin carnes,,,,,,,,,
126568,Music : 70's Chart Toppers: Name The Artist: You're A Special Part Of Me,marvin gaye & diana ross,,,,,,,,,
126569,Music : 70's Chart Toppers: Name The Artist: You're All I Need To Get By,aretha franklin,,,,,,,,,
126570,Music : 70's Chart Toppers: Name The Artist: You're All I Need To Get By,dawn,,,,,,,,,
126571,Music : 70's Chart Toppers: Name The Artist: You're In My Heart,rod stewart,,,,,,,,,
126572,Music : 70's Chart Toppers: Name The Artist: You're My Best Friend,queen,,,,,,,,,
126573,Music : 70's Chart Toppers: Name The Artist: You're My World,helen reddy,,,,,,,,,
126574,Music : 70's Chart Toppers: Name The Artist: You're No Good,linda ronstadt,,,,,,,,,
126575,Music : 70's Chart Toppers: Name The Artist: You're Only Lonely,j.d. souther,,,,,,,,,
126576,Music : 70's Chart Toppers: Name The Artist: You're Sixteen,ringo starr,,,,,,,,,
126577,Music : 70's Chart Toppers: Name The Artist: You're So Vain,carly simon,,,,,,,,,
126578,Music : 70's Chart Toppers: Name The Artist: You're Still A Young Man,tower of power,,,,,,,,,
126579,"Music : 70's Chart Toppers: Name The Artist: You're The First, The Last, My Everything",barry white,,,,,,,,,
126580,Music : 70's Chart Toppers: Name The Artist: You're The Love,seals & crofts,,,,,,,,,
126581,Music : 70's Chart Toppers: Name The Artist: You're The One That I Want,john travolta & olivia newton-john,,,,,,,,,
126582,Music : 70's Chart Toppers: Name The Artist: You're The One,little sister,,,,,,,,,
126583,Music : 70's Chart Toppers: Name The Artist: You've Got A Friend,james taylor,,,,,,,,,
126584,Music : 70's Chart Toppers: Name The Artist: You've Got A Friend,roberta flack & donny hathaway,,,,,,,,,
126585,Music : 70's Chart Toppers: Name The Artist: You've Got Me Runnin',gene cotton,,,,,,,,,
